run_day	TWR5K	TWR10K	SL10K
2025-10-22	 3-4 x 5 min de jogging avec 1-2 min de marche	 3-4 x 5 min de jogging avec 1-2 min de marche	 3-4 x 5 min de jogging avec 1-2 min de marche
2025-10-23	Repos	Repos	Repos
2025-10-24	10-15 min de course facile, termine avec 4 x accélérations ("strides")	10-15 min de course facile, termine avec 4 x accélérations ("strides")	10-15 min de course facile, termine avec 4 x accélérations ("strides")
2025-10-25	Repos	Repos	Repos
2025-10-26	Repos ou entraînement	Repos ou entraînement	Repos ou entraînement
2025-10-27	4 km, jusqu’à deux pauses  de marche de 1 min	5 km, jusqu’à deux pauses  de marche de 1 min	6 km, jusqu’à deux pauses  de marche de 1 min
2025-10-28	Repos	Repos	Repos
2025-10-29	3-4 x 6 min de jogging avec 1-2 min de marche	3-4 x 6 min de jogging avec 1-2 min de marche	3-4 x 6 min de jogging avec 1-2 min de marche
2025-10-30	Repos	Repos	Repos
2025-10-31	8 min facile, marche 2 min, 5 x 1 min plus rapide avec 1 min de marche, 5 min facile	9 min facile, marche 2 min, 5 x 1 min plus rapide avec 1 min de marche, 5 min facile	10 min facile, marche 2 min, 5 x 1 min plus rapide avec 1 min de marche, 5 min facile
2025-11-01	Repos	Repos	Repos
2025-11-02	Repos ou entraînement	Repos ou entraînement	Repos ou entraînement
2025-11-03	5 km - jusqu’à 2 pauses de marche	6 km - jusqu’à 2 pauses de marche	7 km - jusqu’à 2 pauses de marche
2025-11-04	Repos	Repos	Repos
2025-11-05	4-5 x 5 min de jogging  avec 1-2 min de marche	4-5 x 5 min de jogging  avec 1-2 min de marche	4-5 x 5 min de jogging  avec 1-2 min de marche
2025-11-06	Repos	Repos	Repos
2025-11-07	7 min facile, marche 2 min, 3 x 2 min plus rapide avec 1-2 min de marche, 5 min facile	8 min facile, marche 2 min, 3 x 2 min plus rapide avec 1-2 min de marche, 5 min facile	9 min facile, marche 2 min, 3 x 2 min plus rapide avec 1-2 min de marche, 5 min facile
2025-11-08	Repos	Repos	Repos
2025-11-09	Repos ou entraînement	Repos ou entraînement	Repos ou entraînement
2025-11-10	6 km - jusqu’à 3 pauses de marche	7 km - jusqu’à 3 pauses de marche	8 km - jusqu’à 3 pauses de marche
2025-11-11	Repos	Repos	Repos
2025-11-12	3 x 7 min de course avec 2 min de marche	4 x 7 min de course avec 2 min de marche	5 x 7 min de course avec 2 min de marche
2025-11-13	Repos	Repos	Repos
2025-11-14	7 min facile, marche 2 min, 3 x 3 min plus rapide avec 1-2 min de marche, 5 min facile	8 min facile, marche 2 min, 3 x 3 min plus rapide avec 1-2 min de marche, 5 min facile	9 min facile, marche 2 min, 3 x 3 min plus rapide avec 1-2 min de marche, 5 min facile
2025-11-15	Repos	Repos	Repos
2025-11-16	Repos ou entraînement	Repos ou entraînement	Repos ou entraînement
2025-11-17	6 km - jusqu’à 3 pauses de marche	7 km - jusqu’à 3 pauses de marche	8 km - jusqu’à 3 pauses de marche
2025-11-18	Repos	Repos	Repos
2025-11-19	5 - 6  x 2 min de joggin avec 1 de marche	6 - 6  x 2 min de joggin avec 1 de marche	7 - 6  x 2 min de joggin avec 1 de marche
2025-11-20	Repos	Repos	Repos
2025-11-21	8 min facile, marche 2 min, 5 x 1 min plus rapide avec 1 min de marche, 5 min facile	9 min facile, marche 2 min, 5 x 1 min plus rapide avec 1 min de marche, 5 min facile	10 min facile, marche 2 min, 5 x 1 min plus rapide avec 1 min de marche, 5 min facile
2025-11-22	Repos	Repos	Repos
2025-11-23	Repos ou entraînement	Repos ou entraînement	Repos ou entraînement
2025-11-24	4 km - jusqu’à 2 pauses de marche	5 km - jusqu’à 2 pauses de marche	6 km - jusqu’à 2 pauses de marche
2025-11-25	Repos	Repos	Repos
2025-11-26	3 x 7 min de joggin avec 2-3 min de marche	4 x 7 min de joggin avec 2-3 min de marche	5 x 7 min de joggin avec 2-3 min de marche
2025-11-27	Repos	Repos	Repos
2025-11-28	7 min facile, marche 2 min, 3  x 4 min plus rapide avec 1-2 min de marche, 5 min facile	8 min facile, marche 2 min, 3  x 4 min plus rapide avec 1-2 min de marche, 5 min facile	9 min facile, marche 2 min, 3  x 4 min plus rapide avec 1-2 min de marche, 5 min facile
2025-11-29	Repos	Repos	Repos
2025-11-30	Entraînement croisé, 30 - 40 min	Entraînement croisé, 30 - 40 min	Entraînement croisé, 30 - 40 min
2025-12-01	6 km - jusqu’à 3 pauses de marche 	7 km - jusqu’à 3 pauses de marche	8 km - jusqu’à 3 pauses de marche
2025-12-02	Repos	Repos	Repos
2025-12-03	3 x 8 min de jogging avec 2-3 min de marche	4 x 8 min de jogging avec 2-3 min de marche	5 x 8 min de jogging avec 2-3 min de marche
2025-12-04	Repos	Repos	Repos
2025-12-05	7 min facile, marche 2 min, 5-4-3 min  plus rapide consécutif avec 2 min de marche, 5 min facile	8 min facile, marche 2 min, 5-4-3 min  plus rapide consécutif avec 2 min de marche, 5 min facile	9 min facile, marche 2 min, 5-4-3 min  plus rapide consécutif avec 2 min de marche, 5 min facile
2025-12-06	Repos	Repos	Repos
2025-12-07	Entraînement croisé, 30 - 40 min	Entraînement croisé, 30 - 40 min	Entraînement croisé, 30 - 40 min
2025-12-08	7 km - jusqu’à 3 pauses de marche 	8 km - jusqu’à 3 pauses de marche	9 km - jusqu’à 3 pauses de marche
2025-12-09	Repos	Repos	Repos
2025-12-10	3 x 10 min de course avec 2-3 min de marche	4 x 10 min de course avec 2-3 min de marche	5 x 10 min de course avec 2-3 min de marche
2025-12-11	Repos	Repos	Repos
2025-12-12	7 min facile, marche 2 min, 5 x 3 min plus rapide avec 1-2 min de marche, 5 min facile	8 min facile, marche 2 min, 5 x 3 min plus rapide avec 1-2 min de marche, 5 min facile	9 min facile, marche 2 min, 5 x 3 min plus rapide avec 1-2 min de marche, 5 min facile
2025-12-13	Repos	Repos	Repos
2025-12-14	Entraînement croisé, 30 - 40 min	Entraînement croisé, 30 - 40 min	Entraînement croisé, 30 - 40 min
2025-12-15	8 km - jusqu’à 3 pauses de marche 	9 km - jusqu’à 3 pauses de marche	10 km - jusqu’à 3 pauses de marche
2025-12-16	Repos	Repos	Repos
2025-12-17	3 x 7 min de course avec 2 min de marche	4 x 7 min de course avec 2 min de marche	5 x 7 min de course avec 2 min de marche
2025-12-18	Repos	Repos	Repos
2025-12-19	7 min facile, marche 2 min, 5 x 2 min plus rapide avec 1-2 min de marche, 5 min facile	8 min facile, marche 2 min, 5 x 2 min plus rapide avec 1-2 min de marche, 5 min facile	9 min facile, marche 2 min, 5 x 2 min plus rapide avec 1-2 min de marche, 5 min facile
2025-12-20	Repos	Repos	Repos
2025-12-21	Entraînement croisé, 20 - 30 min	Entraînement croisé, 20 - 30 min	Entraînement croisé, 20 - 30 min
2025-12-22	5 km -rythme constant et confortable	6 km -rythme constant et confortable	7 km -rythme constant et confortable
2025-12-23	Repos	Repos	Repos
2025-12-24	3 x 5 min de course avec 2 min de marche	4 x 5 min de course avec 2 min de marche	5 x 5 min de course avec 2 min de marche
2025-12-25	Repos	Repos	Repos
2025-12-26	5 min facile, marche 2 min, 6-8 x 1 min plus rapide avec 1-2 min de marche, 5 min facile	6 min facile, marche 2 min, 6-8 x 1 min plus rapide avec 1-2 min de marche, 5 min facile	7 min facile, marche 2 min, 6-8 x 1 min plus rapide avec 1-2 min de marche, 5 min facile
2025-12-27	Repos	Repos	Repos
2025-12-28	 10-15 minutes jogging "shakeout run", 4 x accélérations (strides)	 10-15 minutes jogging "shakeout run", 4 x accélérations (strides)	 10-15 minutes jogging "shakeout run", 4 x accélérations (strides)
2025-12-29	Repos	Repos	Repos